date,close,adjclose
2025-02-14,41.18,41.18
2025-02-18,41.00,41
2025-02-19,40.50,40.5
2025-02-20,40.73,40.73
2025-02-21,43.56,43.56
2025-02-24,43.84,43.84
2025-02-25,44.16,44.16
2025-02-26,43.20,43.2
2025-02-27,45.67,45.67
2025-02-28,44.77,44.77
2025-03-03,48.45,48.45
2025-03-04,49.70,49.7
2025-03-05,47.42,47.42
2025-03-06,52.68,52.68
2025-03-07,50.29,50.29
2025-03-10,55.77,55.77
2025-03-11,55.76,55.76
2025-03-12,52.90,52.9
2025-03-13,55.21,55.21
2025-03-14,50.38,50.38
2025-03-17,48.49,48.49
2025-03-18,49.83,49.83
2025-03-19,48.13,48.13
2025-03-20,47.33,47.33
2025-03-21,47.36,47.36
2025-03-24,44.31,44.31
2025-03-25,44.67,44.67
2025-03-26,46.03,46.03
2025-03-27,46.33,46.33
2025-03-28,50.48,50.48
2025-03-31,50.26,50.26
2025-04-01,50.33,50.33
2025-04-02,48.95,48.95
2025-04-03,60.95,60.95
2025-04-04,73.12,73.12
2025-04-07,73.52,73.52
2025-04-08,82.83,82.83
2025-04-09,65.50,65.5
2025-04-10,77.91,77.91
2025-04-11,75.69,75.69
2025-04-14,67.00,67
2025-04-15,66.50,66.5
2025-04-16,72.05,72.05
2025-04-17,69.96,69.96
2025-04-21,74.10,74.1
2025-04-22,69.58,69.58
2025-04-23,67.11,67.11
2025-04-24,64.84,64.84
2025-04-25,61.91,61.91
2025-04-28,62.34,62.34
2025-04-29,61.72,61.72
2025-04-30,63.14,63.14
2025-05-01,62.20,62.2
2025-05-02,59.57,59.57
2025-05-05,60.79,60.79
2025-05-06,63.15,63.15
2025-05-07,61.55,61.55
2025-05-08,59.15,59.15
2025-05-09,58.72,58.72
2025-05-12,51.10,51.1
2025-05-13,50.50,50.5
2025-05-14,51.73,51.73
2025-05-15,50.86,50.86
2025-05-16,51.29,51.29
2025-05-19,51.29,51.29
2025-05-20,50.83,50.83
2025-05-21,54.35,54.35
2025-05-22,53.93,53.93
2025-05-23,57.47,57.47
2025-05-27,51.72,51.72
2025-05-28,52.24,52.24
2025-05-29,52.31,52.31
2025-05-30,52.77,52.77
2025-06-02,52.00,52
2025-06-03,50.91,50.91
2025-06-04,51.06,51.06
2025-06-05,52.00,52
2025-06-06,49.78,49.78
2025-06-09,49.11,49.11
2025-06-10,48.94,48.94
2025-06-11,49.16,49.16
2025-06-12,49.96,49.96
2025-06-13,53.81,53.81
2025-06-16,49.81,49.81
2025-06-17,52.83,52.83
2025-06-18,51.58,51.58
2025-06-20,52.16,52.16
2025-06-23,51.41,51.41
2025-06-24,47.75,47.75
2025-06-25,47.39,47.39
2025-06-26,47.19,47.19
2025-06-27,47.13,47.13
2025-06-30,46.88,46.88
2025-07-01,46.81,46.81
2025-07-02,46.67,46.67
2025-07-03,46.29,46.29
2025-07-07,46.86,46.86
2025-07-08,45.80,45.8
2025-07-09,44.20,44.2
2025-07-10,43.86,43.86
2025-07-11,44.07,44.07
2025-07-14,44.74,44.74
2025-07-15,44.41,44.41
2025-07-16,44.82,44.82
2025-07-17,44.62,44.62
2025-07-18,43.96,43.96
2025-07-21,43.70,43.7
2025-07-22,43.55,43.55
2025-07-23,41.77,41.77
2025-07-24,41.61,41.61
2025-07-25,41.23,41.23
2025-07-28,40.10,40.1
2025-07-29,41.04,41.04
2025-07-30,41.24,41.24
2025-07-31,41.49,41.49
2025-08-01,44.76,44.76
2025-08-04,41.73,41.73
2025-08-05,42.16,42.16
2025-08-06,40.86,40.86
2025-08-07,41.18,41.18
2025-08-08,39.76,39.76
2025-08-11,39.95,39.95
2025-08-12,38.25,38.25
2025-08-13,38.03,38.03
2025-08-14,38.14,38.14
2025-08-15,37.97,37.97
2025-08-18,37.11,37.11
2025-08-19,37.85,37.85
2025-08-20,37.61,37.61
2025-08-21,38.19,38.19
2025-08-22,35.19,35.19
2025-08-25,35.13,35.13
2025-08-26,34.94,34.94
2025-08-27,35.09,35.09
2025-08-28,34.55,34.55
2025-08-29,35.26,35.26
2025-09-02,36.35,36.35
2025-09-03,35.50,35.5
2025-09-04,34.46,34.46
2025-09-05,34.49,34.49
2025-09-08,33.88,33.88
2025-09-09,33.71,33.71
2025-09-10,33.58,33.58
2025-09-11,32.73,32.73
2025-09-12,32.68,32.68
2025-09-15,33.08,33.08
2025-09-16,33.58,33.58
2025-09-17,32.37,32.37
2025-09-18,32.25,32.25
2025-09-19,32.34,32.34
2025-09-22,32.88,32.88
2025-09-23,33.25,33.25
2025-09-24,32.83,32.83
2025-09-25,33.27,33.27
